ID,PARENTID,ORGTYPE,UIC,SUBUNIT,LDUIC,TITLE,PARNO,GRADE,POSCO,ERC,OFF,WO,ENL,MIL,CIV,AUTHEQP,RUNDATE
72060794020462660,72060794020462660,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060794020462660,72060794020462660,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060794020462660,72060794020462660,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881095,72060793958881092,CR,,,,Truck: Light Medium Tactical Vehicle (LMTV),102,,,,0,0,1,1,0,0,23-Mar-2026
72060793958881094,72060793958881095,BL,,,,Supply Specialist,102,E-4,92Y1O,,0,0,1,1,0,0,23-Mar-2026
72060793958881094,72060793958881094,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060793958881094,72060793958881094,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793958881094,72060793958881094,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060793958881094,72060793958881094,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881095,72060793958881095,EQ,,,,TRLER FLAT BED M1082,102,,T96564,A,0,0,0,0,0,1,23-Mar-2026
72060793958881095,72060793958881095,EQ,,,,NIGHT VIS G AN/PVS-7A,102,,N05482,A,0,0,0,0,0,2,23-Mar-2026
72060793958881095,72060793958881095,EQ,,,,TRK CG M1078A1P2 WO/W,102,,T59448,A,0,0,0,0,0,1,23-Mar-2026
72060793958881095,72060793958881095,EQ,,,,RADIO SET AN/VRC-90F,102,,R68044,A,0,0,0,0,0,1,23-Mar-2026
72060793958881092,72060793958881092,EQ,,,,TOOL: KIT CARPENTERS,102,,W34648,A,0,0,0,0,0,1,23-Mar-2026
72060793958881092,72060793958881092,EQ,,,,TRAILER WTR M149A2,102,,W98825,A,0,0,0,0,0,1,23-Mar-2026
72060793958881092,72060793958881092,EQ,,,,TEST SET TS-4348/UV,102,,E03826,A,0,0,0,0,0,2,23-Mar-2026
72060793958881092,72060793958881092,EQ,,,,MOUNT GUN RING M66,102,,M74364,A,0,0,0,0,0,1,23-Mar-2026
72060793958881092,72060793958881092,EQ,,,,SI THE AN/PAS-13B(V)3,102,,S90603,A,0,0,0,0,0,1,23-Mar-2026
72060793958881092,72060793958881092,EQ,,,,MT MAC GUN 40MM MK93,102,,M12647,A,0,0,0,0,0,1,23-Mar-2026
72060793958881092,72060793958881092,EQ,,,,MACHINE GUN CALIBER,102,,M39331,A,0,0,0,0,0,1,23-Mar-2026
72060793958881092,72060793958881092,EQ,,,,"TOOL KIT,SMALL ARMS",102,,W51910,A,0,0,0,0,0,1,23-Mar-2026
72060793958881092,72060793958881092,EQ,,,,"MOUNT,TRIPOD,MACHIN",102,,X05002,A,0,0,0,0,0,1,23-Mar-2026
72060793958881092,72060793958881092,EQ,,,,"COMPUTER SYSTEM,DIG",102,,C05076,A,0,0,0,0,0,1,23-Mar-2026
72060793958881096,72060793958881081,UN,,,,Support Section,102,,,,0,0,6,6,0,0,23-Mar-2026
72060793958881097,72060793958881096,BL,,,,#1 Wheeled Vehicle Mechanic,102,E-5,91B2O,,0,0,1,1,0,0,23-Mar-2026
